Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Mar 30,boxscore,WSN,,ATL,L,2,7,,0-1,3,1,Luetge,Corbin,,3:07,D,35756,1,-,
2,Saturday Apr 1,boxscore,WSN,,ATL,L,1,7,,0-2,4,2,Strider,Gray,,2:21,D,27529,0.96,--,
3,Sunday Apr 2,boxscore,WSN,,ATL,W,4,1,,2-Jan,3,1.5,Gore,Shuster,Finnegan,2:17,D,21440,0.89,+,
4,Monday Apr 3,boxscore,WSN,,TBR,L,2,6,,3-Jan,3,2,Rasmussen,Williams,,2:25,N,10754,0.85,-,
5,Tuesday Apr 4,boxscore,WSN,,TBR,L,6,10,,4-Jan,4,3,Thompson,Finnegan,,2:45,N,15272,0.82,--,
6,Wednesday Apr 5,boxscore,WSN,,TBR,L,2,7,,5-Jan,4,4,McClanahan,Corbin,,2:32,D,13836,0.8,---,
7,Thursday Apr 6,boxscore,WSN,@,COL,L,0,1,,6-Jan,5,5,Freeland,Gray,Johnson,2:18,D,48230,0.79,----,
8,Friday Apr 7,boxscore,WSN,@,COL,W,10,5,,6-Feb,5,4,Gore,Ureña,,2:38,N,30869,0.7,+,
9,Saturday Apr 8,boxscore,WSN,@,COL,W,7,6,,6-Mar,4,3,Williams,Gomber,Edwards,2:44,N,34503,0.77,++,
10,Sunday Apr 9,boxscore,WSN,@,COL,L,6,7,,7-Mar,5,3,Lamet,Ramírez,Johnson,2:47,D,30283,0.82,-,
11,Monday Apr 10,boxscore,WSN,@,LAA,W,6,4,,7-Apr,4,3,Corbin,Davidson,Finnegan,2:40,N,19557,0.73,+,
12,Tuesday Apr 11,boxscore,WSN,@,LAA,L,0,2,,8-Apr,5,4,Ohtani,Gray,Estévez,2:26,N,27390,0.77,-,
13,Wednesday Apr 12,boxscore,WSN,@,LAA,L,2,3,,9-Apr,5,5,Moore,Thompson,Quijada,2:22,D,17780,0.73,--,
14,Friday Apr 14,boxscore,WSN,,CLE,L,3,4,,10-Apr,5,6,Stephan,Edwards,Clase,2:41,N,21367,0.69,---,
15,Saturday Apr 15,boxscore,WSN,,CLE,L,4,6,,11-Apr,5,7,Plesac,Kuhl,Clase,2:55,D,24909,0.62,----,
16,Sunday Apr 16,boxscore,WSN,,CLE,W,7,6,,11-May,5,7,Thompson,Sandlin,Finnegan,2:32,D,21929,0.55,+,
17,Tuesday Apr 18,boxscore,WSN,,BAL,L,0,1,,12-May,5,8.5,Kremer,Gray,Bautista,2:34,N,18747,0.58,-,
18,Wednesday Apr 19,boxscore,WSN,,BAL,L,0,4,,13-May,5,8.5,Bradish,Gore,,2:26,N,22598,0.55,--,
19,Friday Apr 21,boxscore,WSN,@,MIN,W,3,2,,13-Jun,5,7.5,Ramírez,Jax,Finnegan,2:33,N,12469,0.47,+,
20,Saturday Apr 22,boxscore,WSN,@,MIN,W,10,4,,13-Jul,5,6.5,Thompson,López,,3:09,D,23045,0.53,++,
21,Sunday Apr 23,boxscore,WSN,@,MIN,L,1,3,,14-Jul,5,6.5,Ober,Corbin,Durán,2:13,D,14763,0.57,-,
22,Tuesday Apr 25,boxscore,WSN,@,NYM,W,5,0,,14-Aug,5,7,Gray,Buttó,Thompson,2:33,N,20507,0.59,+,
23,Wednesday Apr 26,boxscore,WSN,@,NYM,W,4,1,,14-Sep,5,7,Gore,Senga,Finnegan,2:53,N,20191,0.71,++,
24,Thursday Apr 27,boxscore,WSN,@,NYM,L,8,9,,15-Sep,5,7,Robertson,Thompson,,2:47,N,20726,0.75,-,
25,Saturday Apr 29 (1),boxscore,WSN,,PIT,L,3,6,,16-Sep,5,8.5,Hill,Corbin,Bednar,2:52,D,22090,0.61,--,2023-04-28 (Rain)
26,Saturday Apr 29 (2),boxscore,WSN,,PIT,L,1,16,,17-Sep,5,8.5,Velasquez,Kuhl,,2:52,N,17482,0.54,---,
27,Sunday Apr 30,boxscore,WSN,,PIT,W,7,2,,17-Oct,5,8,Gray,Oviedo,,2:41,D,16898,0.49,+,
28,Monday May 1,boxscore,WSN,,CHC,L,1,5,,18-Oct,5,8.5,Smyly,Gore,,2:29,N,13722,0.56,-,
29,Tuesday May 2,boxscore,WSN,,CHC,W,4,1,,18-Nov,5,8.5,Harvey,Thompson,Finnegan,2:35,N,12504,0.49,+,
30,Wednesday May 3,boxscore,WSN,,CHC,W,2,1,,18-Dec,5,8.5,Edwards,Alzolay,Finnegan,2:27,N,15903,0.55,++,
31,Thursday May 4,boxscore,WSN,,CHC,W-wo,4,3,,13-18,5,8.5,Finnegan,Boxberger,,1:55,D,18577,0.61,+++,
32,Friday May 5,boxscore,WSN,@,ARI,L,1,3,,13-19,5,8.5,Kelly,Gray,Chafin,2:12,N,16384,0.67,-,
33,Saturday May 6,boxscore,WSN,@,ARI,L-wo,7,8,,13-20,5,9.5,Castro,Finnegan,,2:49,N,27345,0.65,--,
34,Sunday May 7,boxscore,WSN,@,ARI,W,9,8,,14-20,5,9.5,Ramírez,Castro,Harvey,3:18,D,17174,0.59,+,
35,Monday May 8,boxscore,WSN,@,SFG,W,5,1,,15-20,5,9,Irvin,DeSclafani,,2:14,N,20502,0.65,++,
36,Tuesday May 9,boxscore,WSN,@,SFG,L,1,4,,15-21,5,10,Webb,Corbin,Doval,2:22,N,22028,0.71,-,
37,Wednesday May 10,boxscore,WSN,@,SFG,W,11,6,,16-21,5,9,Gray,Manaea,,2:29,D,21283,0.63,+,
38,Friday May 12,boxscore,WSN,,NYM,L,2,3,,16-22,5,9,Megill,Edwards,Smith,3:10,N,31904,0.73,-,
39,Saturday May 13,boxscore,WSN,,NYM,W,3,2,,17-22,5,8,Harvey,Leone,Finnegan,2:30,D,24336,0.69,+,
40,Sunday May 14,boxscore,WSN,,NYM,L,2,8,,17-23,5,8,Scherzer,Irvin,,2:58,D,21507,0.67,-,
41,Monday May 15,boxscore,WSN,,NYM,W,10,3,,18-23,5,8,Corbin,Peterson,,2:34,D,15220,0.69,+,
42,Tuesday May 16,boxscore,WSN,@,MIA,L-wo,4,5,,18-24,5,8,Nardi,Harvey,,2:35,N,8811,0.68,-,
43,Wednesday May 17,boxscore,WSN,@,MIA,L,3,4,,18-25,5,9,Cabrera,Gore,Floro,2:26,N,8451,0.68,--,
44,Thursday May 18,boxscore,WSN,@,MIA,L,3,5,,18-26,5,9.5,Pérez,Williams,Floro,2:16,D,7752,0.63,---,
45,Friday May 19,boxscore,WSN,,DET,L,6,8,,18-27,5,10.5,Boyd,Irvin,Lange,2:47,N,19985,0.53,----,
46,Saturday May 20,boxscore,WSN,,DET,W,5,2,,19-27,5,9.5,Corbin,Faedo,Finnegan,2:03,D,31721,0.46,+,
47,Sunday May 21,boxscore,WSN,,DET,W,6,4,,20-27,5,9.5,Gray,Wentz,Harvey,2:49,D,20580,0.51,++,
48,Tuesday May 23,boxscore,WSN,,SDP,L,4,7,,20-28,5,9,Darvish,Ramírez,Hader,3:05,N,21438,0.55,-,
49,Wednesday May 24,boxscore,WSN,,SDP,W,5,3,,21-28,5,9,Williams,Weathers,Finnegan,2:25,N,20388,0.54,+,
50,Thursday May 25,boxscore,WSN,,SDP,L,6,8,,21-29,5,10,Carlton,Harvey,Hader,3:19,D,17524,0.55,-,
51,Friday May 26,boxscore,WSN,@,KCR,W,12,10,,22-29,5,9,Corbin,Lyles,Kuhl,3:12,N,15878,0.49,+,
52,Saturday May 27,boxscore,WSN,@,KCR,W,4,2,,23-29,5,8,Thompson,Taylor,Finnegan,2:52,D,19130,0.54,++,
53,Sunday May 28,boxscore,WSN,@,KCR,L-wo,2,3,,23-30,5,9,Barlow,Kuhl,,2:35,D,18319,0.61,-,
54,Monday May 29,boxscore,WSN,@,LAD,L,1,6,,23-31,5,9,Miller,Williams,,2:10,N,47067,0.58,--,
55,Tuesday May 30,boxscore,WSN,@,LAD,L,3,9,,23-32,5,9,Gonsolin,Irvin,,2:19,N,46571,0.51,---,
56,Wednesday May 31,boxscore,WSN,@,LAD,W,10,6,,24-32,5,9,Finnegan,Graterol,Harvey,2:49,D,36552,0.47,+,
57,Friday Jun 2,boxscore,WSN,,PHI,W,8,7,,25-32,4,8,Finnegan,Brogdon,,3:18,N,29827,0.51,++,
58,Saturday Jun 3,boxscore,WSN,,PHI,L,2,4,,25-33,5,9,Covey,Gore,Kimbrel,2:24,D,30959,0.56,-,
59,Sunday Jun 4,boxscore,WSN,,PHI,L,3,11,,25-34,5,10,Suárez,Williams,,2:57,D,29546,0.5,--,
60,Tuesday Jun 6,boxscore,WSN,,ARI,L,5,10,,25-35,5,11,Ruiz,Ramírez,,2:58,N,24743,0.42,---,
61,Wednesday Jun 7,boxscore,WSN,,ARI,L,2,6,,25-36,5,12,Davies,Corbin,,2:32,N,18180,0.36,----,
62,Friday Jun 9,boxscore,WSN,@,ATL,L,2,3,,25-37,5,13.5,Yates,Finnegan,Iglesias,2:46,N,40297,0.32,-----,
63,Saturday Jun 10,boxscore,WSN,@,ATL,L,4,6,,25-38,5,14.5,Shuster,Gore,Minter,2:22,D,40799,0.27,------,
64,Sunday Jun 11,boxscore,WSN,@,ATL,W,6,2,,26-38,5,13.5,Williams,Elder,,2:23,D,36744,0.23,+,
65,Tuesday Jun 13,boxscore,WSN,@,HOU,L,1,6,,26-39,5,13.5,Brown,Corbin,,2:30,N,39546,0.25,-,
66,Wednesday Jun 14,boxscore,WSN,@,HOU,L-wo,4,5,,26-40,5,15,Pressly,Harvey,,2:24,N,39796,0.21,--,
