Rk,Tm,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,,,,,,,,
1,Atlanta Braves,104,58,0.642,5.8,4.4,1.4,-0.1,1.4,101-61,3,,,,,,,,
2,Baltimore Orioles,101,61,0.623,5,4.2,0.8,0,0.8,94-68,7,,,,,,,,
3,Los Angeles Dodgers,100,62,0.617,5.6,4.3,1.3,-0.1,1.2,100-62,0,,,,,,,,
4,Tampa Bay Rays,99,63,0.611,5.3,4.1,1.2,0,1.2,100-62,-1,,,,,,,,
5,Milwaukee Brewers,92,70,0.568,4.5,4,0.5,0,0.5,90-72,2,,,,,,,,
6,Houston Astros,90,72,0.556,5.1,4.3,0.8,-0.1,0.7,93-69,-3,,,,,,,,
7,Texas Rangers,90,72,0.556,5.4,4.4,1,-0.1,0.9,96-66,-6,,,,,,,,
8,Philadelphia Phillies,90,72,0.556,4.9,4.4,0.5,0,0.5,89-73,1,,,,,,,,
9,Toronto Blue Jays,89,73,0.549,4.6,4.1,0.5,0.1,0.5,89-73,0,,,,,,,,
10,Seattle Mariners,88,74,0.543,4.7,4.1,0.6,-0.1,0.6,91-71,-3,,,,,,,,
11,Minnesota Twins,87,75,0.537,4.8,4.1,0.7,-0.2,0.6,93-69,-6,,,,,,,,
12,Arizona Diamondbacks,84,78,0.519,4.6,4.7,-0.1,0,-0.1,80-82,4,,,,,,,,
13,Miami Marlins,84,78,0.519,4.1,4.5,-0.4,0.1,-0.3,75-87,9,,,,,,,,
14,Chicago Cubs,83,79,0.512,5.1,4.5,0.6,-0.1,0.5,90-72,-7,,,,,,,,
15,San Diego Padres,82,80,0.506,4.6,4,0.6,0,0.6,92-70,-10,,,,,,,,
16,Cincinnati Reds,82,80,0.506,4.8,5.1,-0.2,0,-0.2,77-85,5,,,,,,,,
17,New York Yankees,82,80,0.506,4.2,4.3,-0.2,0.1,0,78-84,4,,,,,,,,
18,San Francisco Giants,79,83,0.488,4.2,4.4,-0.3,0,-0.3,76-86,3,,,,,,,,
19,Detroit Tigers,78,84,0.481,4.1,4.6,-0.5,-0.1,-0.6,73-89,5,,,,,,,,
20,Boston Red Sox,78,84,0.481,4.8,4.8,0,0.1,0.1,81-81,-3,,,,,,,,
21,Cleveland Guardians,76,86,0.469,4.1,4.3,-0.2,-0.1,-0.3,77-85,-1,,,,,,,,
22,Pittsburgh Pirates,76,86,0.469,4.3,4.9,-0.6,0,-0.6,71-91,5,,,,,,,,
23,New York Mets,75,87,0.463,4.4,4.5,-0.1,0,0,80-82,-5,,,,,,,,
24,Los Angeles Angels,73,89,0.451,4.6,5.1,-0.6,0,-0.5,73-89,0,,,,,,,,
25,St. Louis Cardinals,71,91,0.438,4.4,5.1,-0.7,0,-0.6,71-91,0,,,,,,,,
26,Washington Nationals,71,91,0.438,4.3,5.2,-0.9,0.1,-0.8,67-95,4,,,,,,,,
27,Chicago White Sox,61,101,0.377,4,5.2,-1.2,0,-1.3,61-101,0,,,,,,,,
28,Colorado Rockies,59,103,0.364,4.5,5.9,-1.5,0.1,-1.3,60-102,-1,,,,,,,,
29,Kansas City Royals,56,106,0.346,4.2,5.3,-1.1,0,-1.2,64-98,-8,,,,,,,,
30,Oakland Athletics,50,112,0.309,3.6,5.7,-2.1,0.1,-2,49-113,1,,,,,,,,
,Average,81,81,0.5,4.6,4.6,,,,81-80,,,,,,,,,
