Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,SP,Patrick Corbin*,33,10,15,0.4,5.2,32,32,0,0,0,0,180,210,113,104,33,57,0,124,4,0,6,790,83,5.28,1.483,10.5,1.7,2.9,6.2,2.18
2,SP,Josiah Gray,25,8,13,0.381,3.91,30,30,0,0,0,0,159,152,72,69,22,80,1,143,9,0,9,698,110,4.93,1.459,8.6,1.2,4.5,8.1,1.79
3,SP,Trevor Williams,31,6,10,0.375,5.55,30,30,0,0,0,0,144.1,178,97,89,34,53,1,111,5,2,0,659,78,5.98,1.6,11.1,2.1,3.3,6.9,2.09
4,SP,MacKenzie Gore*,24,7,10,0.412,4.42,27,27,0,0,0,0,136.1,134,71,67,27,57,0,151,1,0,6,582,97,4.89,1.401,8.8,1.8,3.8,10,2.65
5,SP,Jake Irvin,26,3,7,0.3,4.61,24,24,0,0,0,0,121,118,66,62,20,54,0,99,8,1,2,530,93,5.3,1.421,8.8,1.5,4,7.4,1.83
6,CL,Kyle Finnegan,31,7,5,0.583,3.76,67,0,46,0,0,28,69.1,66,33,29,11,24,1,63,1,0,0,288,115,4.58,1.298,8.6,1.4,3.1,8.2,2.63
7,RP,Hunter Harvey,28,4,4,0.5,2.82,57,0,20,0,0,10,60.2,44,21,19,7,13,1,67,2,1,2,235,153,3.29,0.94,6.5,1,1.9,9.9,5.15
8,RP,Jordan Weems,30,5,1,0.833,3.62,51,0,7,0,0,0,54.2,38,25,22,9,28,5,60,3,0,0,232,119,4.9,1.207,6.3,1.5,4.6,9.9,2.14
9,RP,Mason Thompson,25,4,4,0.5,5.5,51,0,5,0,0,1,54,62,35,33,4,22,0,44,4,0,4,240,79,4.03,1.556,10.3,0.7,3.7,7.3,2
10,RP,Andrés Machado,30,4,1,0.8,5.22,44,0,8,0,0,0,50,53,29,29,12,13,2,43,1,1,1,207,83,5.5,1.32,9.5,2.2,2.3,7.7,3.31
11,,Joan Adon,24,2,4,0.333,6.45,12,10,2,0,0,0,51.2,60,37,37,8,24,3,48,3,0,6,240,67,4.98,1.626,10.5,1.4,4.2,8.4,2
12,,Cory Abbott,27,1,2,0.333,6.64,22,0,10,0,0,0,39.1,48,29,29,9,19,0,40,4,1,4,183,65,5.95,1.703,11,2.1,4.3,9.2,2.11
13,,Chad Kuhl,30,0,4,0,8.45,16,5,5,0,0,1,38.1,47,38,36,8,28,2,31,3,0,4,187,51,6.78,1.957,11,1.9,6.6,7.3,1.11
14,,Thaddeus Ward,26,0,0,,6.37,26,0,11,0,0,0,35.1,29,26,25,7,28,1,30,2,0,1,160,68,6.68,1.613,7.4,1.8,7.1,7.6,1.07
15,,Jose A. Ferrer*,23,3,0,1,5.03,39,0,6,0,0,0,34,37,19,19,4,13,2,25,1,0,0,142,86,4.55,1.471,9.8,1.1,3.4,6.6,1.92
16,,Robert Garcia*,27,2,2,0.5,3.69,24,0,3,0,0,0,31.2,25,16,13,3,11,2,33,0,0,2,124,118,3.44,1.137,7.1,0.9,3.1,9.4,3
17,,Carl Edwards Jr.,31,1,3,0.25,3.69,32,0,3,0,0,2,31.2,31,14,13,1,17,2,24,1,0,2,142,118,3.86,1.516,8.8,0.3,4.8,6.8,1.41
18,,Joe La Sorsa*,25,1,0,1,4.76,23,0,8,0,0,0,28.1,29,15,15,3,6,0,25,5,1,0,125,91,4.03,1.235,9.2,1,1.9,7.9,4.17
19,,Erasmo Ramírez,33,2,3,0.4,6.33,23,0,5,0,0,0,27,36,20,19,4,6,0,13,3,1,0,126,69,5.22,1.556,12,1.3,2,4.3,2.17
20,,Amos Willingham,24,0,2,0,6.66,18,0,5,0,0,0,24.1,35,18,18,8,9,2,15,1,0,0,116,65,7.53,1.808,12.9,3,3.3,5.5,1.67
21,,Jackson Rutledge,24,1,1,0.5,6.75,4,4,0,0,0,0,20,24,15,15,4,6,0,12,2,0,1,88,65,5.86,1.5,10.8,1.8,2.7,5.4,2
22,,Hobie Harris,30,0,0,,5.12,16,0,8,0,0,0,19.1,21,12,11,2,13,0,9,1,0,1,91,85,5.84,1.759,9.8,0.9,6.1,4.2,0.69
23,,Anthony Banda*,29,0,0,,6.43,10,0,5,0,0,0,7,9,5,5,1,5,0,6,1,0,1,35,70,5.97,2,11.6,1.3,6.4,7.7,1.2
24,,Paolo Espino,36,0,0,,24.75,3,0,1,0,0,0,4,14,11,11,1,3,0,3,0,0,0,28,19,7.26,4.25,31.5,2.3,6.8,6.8,1
25,,Rico Garcia,29,0,0,,12,3,0,0,0,0,0,3,6,4,4,1,1,0,4,0,0,1,16,40,5.92,2.333,18,3,3,12,4
26,,Ildemaro Vargas,31,0,0,,4.5,2,0,2,0,0,0,2,2,1,1,1,1,0,0,1,0,0,10,113,12.76,1.5,9,4.5,4.5,0,0
27,,Tanner Rainey,30,0,0,,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,5,,4.26,2,9,0,9,9,1
28,,Lane Thomas,27,0,0,,27,1,0,1,0,0,0,1,3,3,3,1,0,0,1,0,0,0,6,22,14.26,3,27,9,0,9,
