Name,Team,Pos,Injury / Surgery Date,Injury / Surgery,Status,IL Retro Date,Eligible to Return,Return Date,Latest Update
Alcides Escobar,WSN,SS,05/31/22,Strained hamstring,Activated,06/01/22,06/11/22,06/21/22,Activated
Aníbal Sánchez,WSN,SP,04/07/22,Cervical nerve impingement,Activated,04/08/22,06/07/22,07/14/22,Activated
Cade Cavalli,WSN,SP,08/26/22,Shoulder inflammation,15-Day IL,08/28/22,09/12/22,10/06/22,No timetable for return
Carter Kieboom,WSN,3B,05/27/22,Tommy John surgery,60-Day IL,04/04/22,06/03/22,10/06/22,Out for 2022 season
Dee Strange-Gordon,WSN,INF/OF,04/15/22,Undisclosed,Activated,04/15/22,04/16/22,05/03/22,Activated
Ehire Adrianza,WSN,INF/OF,03/31/22,Strained quad,Activated,04/04/22,06/03/22,06/07/22,Activated
Erick Fedde,WSN,SP,07/24/22,Shoulder inflammation,Activated,07/27/22,08/11/22,08/23/22,Activated
Evan Lee,WSN,RP,06/17/22,Strained flexor tendon,60-Day IL,06/18/22,08/17/22,10/06/22,Rehab assignment (8/15)
Hunter Harvey,WSN,RP,04/20/22,Strained forearm,Activated,04/21/22,06/20/22,07/10/22,Activated
Jackson Tetreault,WSN,SP,07/02/22,Stress fracture -- shoulder,60-Day IL,07/03/22,09/01/22,10/06/22,No timetable for return
Joe Ross,WSN,SP,06/10/22,Tommy John surgery,60-Day IL,04/04/22,06/03/22,10/06/22,Out for 2022 season
Josh Rogers,WSN,RP,06/02/22,Shoulder impingement,Activated,06/03/22,06/18/22,07/23/22,Activated
Keibert Ruiz,WSN,C,09/08/22,Testicular contusion,10-Day IL,09/09/22,09/19/22,10/06/22,No timetable for return
Luis García Jr.,WSN,INF,08/12/22,Strained groin,Activated,08/13/22,08/23/22,08/26/22,Activated
MacKenzie Gore,WSN,SP,07/25/22,Elbow inflammation,15-Day IL,07/26/22,08/10/22,10/06/22,Out for 2022 season
Mason Thompson,WSN,RP,04/09/22,Strained biceps,Activated,04/10/22,06/09/22,07/01/22,Activated
Reed Garrett,WSN,RP,07/05/22,Biceps inflammation,Activated,07/06/22,07/21/22,08/04/22,Activated
Sean Doolittle,WSN,RP,Jul' 22,Elbow surgery (internal brace procedure),60-Day IL,04/20/22,06/19/22,10/06/22,Out for 2022 season
Seth Romero,WSN,SP,Mar '22,Strained calf,Activated,04/04/22,06/03/22,08/27/22,Activated
Stephen Strasburg,WSN,SP,07/28/21,Thoracic outlet syndrome surgery,Activated,04/04/22,04/14/22,06/09/22,Activated
Stephen Strasburg,WSN,SP,06/09/22,Stress reaction -- ribs,60-Day IL,06/11/22,08/10/22,10/06/22,No timetable for return
Tanner Rainey,WSN,RP,08/03/22,Tommy John surgery,60-Day IL,07/11/22,09/09/22,10/06/22,Out for 2022 season
Tyler Clippard,WSN,RP,07/14/22,Strained groin,Activated,07/19/22,08/03/22,08/12/22,Activated
Víctor Arano,WSN,RP,06/05/22,Knee inflammation,Activated,06/06/22,06/21/22,07/22/22,Activated
Víctor Arano,WSN,RP,09/01/22,Strained shoulder,15-Day IL,09/02/22,09/17/22,10/06/22,No timetable for return
Will Harris,WSN,RP,03/31/22,Thoracic outlet syndrome surgery (follow-up proced,60-Day IL,04/04/22,06/03/22,10/06/22,No timetable for return
Yadiel Hernandez,WSN,OF,08/18/22,Strained calf,60-Day IL,08/19/22,10/18/22,10/06/22,Out for 2022 season
