Name,Team,Pos,Injury / Surgery Date,Injury / Surgery,Status,IL Retro Date,Eligible to Return,Return Date,Latest Update,
Carter Kieboom,WSN,3B,5/27/22,Tommy John surgery,Activated,3/27/23,4/6/23,5/5/23,Activated,
Israel Pineda,WSN,C,3/4/23,Fractured finger,Activated,3/27/23,5/26/23,8/6/23,Activated,
Riley Adams,WSN,C,9/11/23,Hand surgery (fractured hamate),60-Day IL,9/7/23,11/6/23,,Out for 2023 season,
Ildemaro Vargas,WSN,INF/OF,4/9/23,Strained shoulder,Activated,4/10/23,4/20/23,5/3/23,Activated,
Travis Blankenhorn,WSN,INF/OF,9/14/23,Plantar fascitis,10-Day IL,9/16/23,9/26/23,,No timetable for return,
Corey Dickerson,WSN,OF,4/1/23,Strained calf,Activated,4/2/23,4/12/23,5/15/23,Activated,
Victor Robles,WSN,OF,5/6/23,Back spasms,Activated,5/7/23,5/17/23,6/16/23,Activated,
Victor Robles,WSN,OF,6/20/23,Back spasms,60-Day IL,6/21/23,8/20/23,,No timetable for return,
Stone Garrett,WSN,OF,8/23/23,Fractured leg (fibula),60-Day IL,8/24/23,10/23/23,,Out for 2023 season,
Tanner Rainey,WSN,RP,8/3/22,Tommy John surgery,Activated,3/27/23,5/26/23,9/29/23,Activated,
Thaddeus Ward,WSN,RP,7/1/23,Shoulder inflammation,Activated,7/2/23,7/17/23,9/14/23,Activated,
Hunter Harvey,WSN,RP,7/14/23,Strained elbow,Activated,7/15/23,7/30/23,8/15/23,Activated,
Paolo Espino,WSN,RP,7/18/23,Strained finger,Activated,7/19/23,8/3/23,8/6/23,Activated,
Rico Garcia,WSN,RP,7/28/23,Biceps tendinitis,Activated,7/29/23,8/13/23,9/1/23,Activated,
Mason Thompson,WSN,RP,7/31/23,Knee contusion,Activated,8/2/23,8/17/23,8/20/23,Activated,
Víctor Arano,WSN,RP,Jun '23,Shoulder surgery,60-Day IL,3/27/23,5/26/23,,Questionable for 2023 season,
Carl Edwards Jr.,WSN,RP,6/19/23,Shoulder inflammation,60-Day IL,6/20/23,8/19/23,,Questionable for 2023 season,
Chad Kuhl,WSN,SP,4/29/23,Foot metatarsalgia,Activated,4/30/23,5/15/23,5/20/23,Activated,
MacKenzie Gore,WSN,SP,9/8/23,Blisters (left hand),15-Day IL,9/9/23,9/24/23,,No timetable for return,
Jake Irvin,WSN,SP,9/21/23,Ankle tendinitis,15-Day IL,9/22/23,10/7/23,,Out for 2023 season,
Stephen Strasburg,WSN,SP,7/28/21,Thoracic outlet syndrome surgery,60-Day IL,3/27/23,5/26/23,,No timetable for return,
Cade Cavalli,WSN,SP,3/22/23,Tommy John surgery,60-Day IL,3/27/23,5/26/23,,Out for 2023 season,
