Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Mar 28,boxscore,WSN,,NYM,L,0,2,,0-1,3,1,deGrom,Scherzer,Díaz,2:44,D,42263,1.05,-,
2,Saturday Mar 30,boxscore,WSN,,NYM,L,8,11,,0-2,4,2,Wilson,Rosenthal,Díaz,3:50,D,33765,1.02,--,
3,Sunday Mar 31,boxscore,WSN,,NYM,W-wo,6,5,,2-Jan,4,2,Doolittle,Wilson,,3:15,D,23430,0.97,+,
4,Tuesday Apr 2,boxscore,WSN,,PHI,L,2,8,,3-Jan,3,3,Eflin,Scherzer,,3:30,N,35920,1.03,-,
5,Wednesday Apr 3,boxscore,WSN,,PHI,W-wo,9,8,,3-Feb,3,2.5,Doolittle,Robertson,,3:53,D,23050,0.96,+,
6,Thursday Apr 4,boxscore,WSN,@,NYM,W,4,0,,3-Mar,3,1.5,Strasburg,Syndergaard,,3:19,D,44424,1.01,++,
7,Saturday Apr 6,boxscore,WSN,@,NYM,L,5,6,,4-Mar,4,2.5,Familia,Sipp,Díaz,3:13,D,35156,1.07,-,
8,Sunday Apr 7,boxscore,WSN,@,NYM,W,12,9,,4-Apr,4,2,Scherzer,Wheeler,,3:42,D,40681,1,+,
9,Monday Apr 8,boxscore,WSN,@,PHI,L,3,4,,5-Apr,4,3,Domínguez,Sánchez,Neshek,2:32,N,28212,1.12,-,
10,Tuesday Apr 9,boxscore,WSN,@,PHI,W,10,6,10,5-May,4,2,Doolittle,Álvarez,,3:51,N,38073,1.03,+,
11,Wednesday Apr 10,boxscore,WSN,@,PHI,W,15,1,,5-Jun,4,1,Hellickson,Pivetta,,3:35,N,30805,1.08,++,
12,Friday Apr 12,boxscore,WSN,,PIT,L,3,6,10,6-Jun,4,2.5,Burdi,Grace,Vazquez,3:28,N,27084,0.98,-,
13,Saturday Apr 13,boxscore,WSN,,PIT,W,3,2,,6-Jul,4,1.5,Suero,Rodríguez,Doolittle,2:22,D,32103,0.96,+,
14,Sunday Apr 14,boxscore,WSN,,PIT,L,3,4,,7-Jul,4,2,Vazquez,Suero,,2:47,D,22347,1.01,-,
15,Tuesday Apr 16,boxscore,WSN,,SFG,L,3,7,,8-Jul,4,2.5,Rodríguez,Strasburg,,3:16,N,22334,0.93,--,
16,Wednesday Apr 17,boxscore,WSN,,SFG,W,9,6,,8-Aug,4,2.5,Hellickson,Samardzija,,3:07,N,22611,0.9,+,
17,Thursday Apr 18,boxscore,WSN,,SFG,W,4,2,,8-Sep,3,1.5,Corbin,Pomeranz,Doolittle,2:52,D,26085,0.96,++,
18,Friday Apr 19,boxscore,WSN,@,MIA,L,2,3,,9-Sep,3,1.5,Smith,Sánchez,Romo,2:52,N,8199,1.08,-,
19,Saturday Apr 20,boxscore,WSN,@,MIA,L,3,9,,10-Sep,4,2.5,Ureña,Scherzer,,3:12,N,9910,1.02,--,
20,Sunday Apr 21,boxscore,WSN,@,MIA,W,5,0,,10-Oct,4,1.5,Strasburg,Richards,,2:45,D,7412,0.96,+,
21,Monday Apr 22,boxscore,WSN,@,COL,L,5,7,,11-Oct,4,1.5,Oh,Suero,Davis,3:00,N,20517,1,-,
